,Fiscal Year,US Category Name,Constant Dollar Amount
331,2021,Economic Development,5490478500
332,2021,Education and Social Services,1824359796
333,2021,Environment,105521533
334,2021,Health,27382750782
335,2021,Humanitarian Assistance,10587789802
336,2021,Multi-sector,613010036
337,2021,Peace and Security,3127618086
338,2021,Program Support,6261622526
339,2022,"Democracy, Human Rights, and Governance",2202751909
340,2022,Economic Development,22718859747
341,2022,Education and Social Services,1599159192
342,2022,Environment,135649070
343,2022,Health,24623721809
344,2022,Humanitarian Assistance,13121692467
345,2022,Multi-sector,1490924525
346,2022,Peace and Security,19816273222
347,2022,Program Support,5933416009
348,2023,"Democracy, Human Rights, and Governance",2558727883
349,2023,Economic Development,36177651621
350,2023,Education and Social Services,1690391992
351,2023,Environment,2247865831
352,2023,Health,14224293430
353,2023,Humanitarian Assistance,11976594151
354,2023,Multi-sector,876808184
355,2023,Peace and Security,6241796766
356,2023,Program Support,6620080245
357,2024,"Democracy, Human Rights, and Governance",2393143073
358,2024,Economic Development,14895173199
359,2024,Education and Social Services,1532244126
360,2024,Environment,60209497
361,2024,Health,15066153319
362,2024,Humanitarian Assistance,6965880816
363,2024,Multi-sector,136068330
364,2024,Peace and Security,599067755
365,2024,Program Support,6170617749
366,1946,Economic Development,35041517068
367,1947,Economic Development,70687478783
368,1948,Economic Development,24066746514
369,1949,Economic Development,66799623281
370,1950,Economic Development,48134117213
371,1951,Economic Development,56841515540
372,1952,Economic Development,55947686516
373,1953,Economic Development,39965872412
374,1954,Economic Development,38137477421
375,1955,Economic Development,30886044481
376,1956,Economic Development,37052206843
377,1957,Economic Development,33779992387
378,1958,Economic Development,28830130123
379,1959,Economic Development,37008214041
380,1960,Economic Development,37249028830
381,1961,Economic Development,38606362973
382,1962,Economic Development,45584670267
383,1963,Economic Development,43917136071
384,1964,Economic Development,34546450113
385,1965,Economic Development,33845125246
386,1966,Economic Development,38109355684
387,1967,Economic Development,34461246989
388,1968,Economic Development,32548515183
389,1969,Economic Development,28875278444
390,1970,Economic Development,23440795532
391,1970,Peace and Security,2718885649
392,1971,Economic Development,20160963830
393,1971,Peace and Security,7734273048
394,1972,Economic Development,24898661021
395,1972,Peace and Security,5140037734
396,1973,Economic Development,21697418898
397,1973,Peace and Security,5187147954
398,1974,Economic Development,14974474780
399,1974,Peace and Security,16298049465
400,1975,Economic Development,19369606007
401,1975,Peace and Security,5160035644
402,1976,Economic Development,15937181393
403,1976,Peace and Security,13019971757
404,1976tq,Economic Development,10735400803
405,1977,Economic Development,21765754329
406,1977,Peace and Security,8556691119
407,1978,Economic Development,24237798322
408,1978,Peace and Security,8679770831
409,1979,Economic Development,26838217486
410,1979,Peace and Security,20318055324
411,1980,Economic Development,23396950036
412,1980,Peace and Security,6662871166
413,1981,Economic Development,20618552052
414,1981,Peace and Security,9270566460
415,1982,Economic Development,21345968623
416,1982,Peace and Security,10877711759
417,1983,Economic Development,21618241389
418,1983,Peace and Security,13486825483
419,1984,Economic Development,22041809483
