STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,MP,Northern Mariana Islands,AG_LND_AGRI_ZS,Agricultural land (% of land area),2020,,1.17,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,MP,Northern Mariana Islands,AG_LND_AGRI_ZS,Agricultural land (% of land area),2019,,1.17,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,KI,Kiribati,AG_LND_AGRI_ZS,Agricultural land (% of land area),2017,,41.98,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,KI,Kiribati,AG_LND_AGRI_ZS,Agricultural land (% of land area),2016,,41.98,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,KI,Kiribati,AG_LND_AGRI_ZS,Agricultural land (% of land area),2021,,41.98,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,KI,Kiribati,AG_LND_AGRI_ZS,Agricultural land (% of land area),2020,,41.98,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,KI,Kiribati,AG_LND_AGRI_ZS,Agricultural land (% of land area),2019,,41.98,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,AG_LND_AGRI_ZS,Agricultural land (% of land area),2017,,48.61,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,AG_LND_AGRI_ZS,Agricultural land (% of land area),2016,,48.61,,,,,,,,,,,
DATAFLOW,SPC:DF_WBWDI(1.0),Selection of World Bank World Development Indicators (WB WDI) for Pacific Island Countries and Territories,I,A,Annual,TO,Tonga,AG_LND_AGRI_ZS,Agricultural land (% of land area),2021,,48.61,,,,,,,,,,,
