time,analysed_sst
1981-12-31,27.444047957479313
1982-12-31,27.712942473553028
1983-12-31,27.58351057536038
1984-12-31,27.247356697374926
1985-12-31,27.481025120876097
1986-12-31,27.681249804531546
1987-12-31,27.786538927192453
1988-12-31,27.492460910401064
1989-12-31,27.40350142981646
1990-12-31,27.877590487093016
1991-12-31,27.80437623240215
1992-12-31,27.80670854419691
1993-12-31,27.713655562123733
1994-12-31,27.85556491541621
1995-12-31,27.837216935245465
1996-12-31,27.730408100260888
1997-12-31,27.874055552262803
1998-12-31,27.681695485300395
1999-12-31,27.462919014016506
2000-12-31,27.582539903431552
2001-12-31,27.790562029626415
2002-12-31,28.040610466086605
2003-12-31,27.96819933117348
2004-12-31,27.98187052807316
2005-12-31,27.930961200933723
2006-12-31,27.899169068671597
2007-12-31,27.787629291140092
2008-12-31,27.453168524111447
2009-12-31,27.95234252081292
2010-12-31,27.743214282569795
2011-12-31,27.509238187623396
2012-12-31,27.72931869715069
2013-12-31,27.789444525924807
2014-12-31,27.932596586852185
2015-12-31,28.131203620686733
2016-12-31,28.14395691384675
2017-12-31,28.051586099821577
2018-12-31,28.009291480336913
2019-12-31,28.168710792309298
2020-12-31,28.022862632938256
2021-12-31,27.803444031453694
2022-12-31,27.982372773933434
