,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,value
52,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2004,1.02
53,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2005,1.35
54,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2006,1.37
55,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2007,1.19
56,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2008,1.44
57,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2009,1.15
58,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2010,1.95
59,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2011,1.57
60,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2012,1.42
61,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2013,1.41
62,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2014,1.51
63,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2015,1.71
64,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2016,1.87
65,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2017,1.72
66,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2018,2.0
67,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2019,1.98
68,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2020,1.89
69,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2021,1.84
70,A,EG_FEC_RNEW,FM,_T,_T,_T,_T,_T,_T,_Z,_T,2022,2.05
71,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2000,54.73
72,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2001,56.39
73,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2002,53.05
74,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2003,50.52
75,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2004,50.55
76,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2005,48.51
77,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2006,48.12
78,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2007,48.42
79,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2008,49.74
80,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2009,50.44
81,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2010,50.14
82,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2011,50.51
83,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2012,48.73
84,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2013,46.16
85,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2014,47.98
86,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2015,47.48
87,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2016,48.1
88,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2017,42.51
89,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2018,42.31
90,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2019,42.19
91,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2020,42.24
92,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2021,42.23
93,A,EG_FEC_RNEW,KI,_T,_T,_T,_T,_T,_T,_Z,_T,2022,41.86
94,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2000,19.57
95,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2001,19.08
96,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2002,18.63
97,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2003,18.56
98,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2004,18.4
99,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2005,18.38
100,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2006,16.96
101,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2007,15.21
102,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2008,14.78
103,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2009,13.96
104,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2010,13.72
105,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2011,12.35
106,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2012,12.03
107,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2013,12.37
108,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2014,11.74
109,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2015,11.32
110,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2016,11.75
111,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2017,11.74
112,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2018,11.72
113,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2019,11.7
114,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2020,11.62
115,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2021,11.89
116,A,EG_FEC_RNEW,MH,_T,_T,_T,_T,_T,_T,_Z,_T,2022,11.68
117,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2000,7.54
118,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2001,6.72
119,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2002,5.28
120,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2003,4.93
121,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2004,5.2
122,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2005,5.08
123,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2006,4.52
124,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2007,5.82
125,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2008,7.78
126,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2009,6.95
127,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2010,4.85
128,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2011,5.93
129,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2012,6.17
130,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2013,6.56
131,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2014,4.29
132,A,EG_FEC_RNEW,NC,_T,_T,_T,_T,_T,_T,_Z,_T,2015,5.09
