Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,income_level,trend,slope,r_value,p_value,percent_change
Haiti,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",400.0,417.0,389.0,373.0,429.0,363.0,343.0,366.0,383.0,394.0,403.0,424.0,384.0,392.0,389.0,391.0,388.0,351.0,359.0,349.0,350.0,,,,Lower middle income,decreasing,-1.7116883116883117,-0.4293483059533946,0.05209806793373323,-12.5
Honduras,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",82.0,77.0,73.0,77.0,72.0,75.0,77.0,77.0,81.0,73.0,73.0,72.0,65.0,65.0,68.0,67.0,62.0,64.0,65.0,67.0,72.0,,,,Lower middle income,decreasing,-0.714285714285714,-0.7674850301179107,4.891772281094807e-05,-12.195121951219512
"Hong Kong SAR, China","Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Hungary,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",15.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,,,,High income,increasing,0.05064935064935063,0.3949008545116777,0.07644901473905703,0.0
Iceland,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,High income,decreasing,-0.08571428571428573,-0.7825414583398242,2.7605566506920975e-05,-40.0
India,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",384.0,371.0,329.0,315.0,301.0,286.0,248.0,234.0,221.0,207.0,179.0,170.0,162.0,154.0,135.0,128.0,121.0,119.0,116.0,116.0,103.0,,,,Lower middle income,decreasing,-14.153246753246755,-0.9719976578891084,2.0794195226109057e-13,-73.17708333333334
Indonesia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",299.0,284.0,286.0,269.0,284.0,276.0,254.0,251.0,256.0,241.0,219.0,236.0,207.0,194.0,194.0,194.0,194.0,194.0,181.0,158.0,173.0,,,,Lower middle income,decreasing,-6.783116883116884,-0.9762802148875247,4.3689618461013854e-14,-42.14046822742475
"Iran, Islamic Rep.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",44.0,42.0,41.0,41.0,38.0,30.0,30.0,29.0,33.0,37.0,32.0,26.0,23.0,23.0,21.0,20.0,20.0,18.0,17.0,21.0,22.0,,,,Upper middle income,decreasing,-1.3051948051948052,-0.9232261734540403,2.4879324547833953e-09,-50.0
Iraq,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",117.0,115.0,112.0,118.0,118.0,116.0,122.0,128.0,131.0,126.0,115.0,111.0,111.0,110.0,98.0,102.0,85.0,78.0,72.0,73.0,76.0,,,,Upper middle income,decreasing,-2.416883116883117,-0.8024524099730338,1.2055776216233137e-05,-35.04273504273504
Ireland,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",10.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,,,,High income,decreasing,-0.2,-0.9002923501782483,2.719339246315421e-08,-50.0
Isle of Man,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Israel,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",9.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,High income,decreasing,-0.19740259740259736,-0.7610153645142376,6.17618795930423e-05,-66.66666666666666
Italy,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,,,,High income,decreasing,-0.2194805194805195,-0.9334310213556448,6.68292513501276e-10,-50.0
Jamaica,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",83.0,87.0,87.0,86.0,82.0,86.0,94.0,92.0,96.0,95.0,88.0,80.0,83.0,90.0,101.0,97.0,98.0,101.0,91.0,93.0,99.0,,,,Upper middle income,increasing,0.6272727272727272,0.605705928691544,0.00361447804672144,19.27710843373494
Japan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",9.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,,,High income,decreasing,-0.21688311688311687,-0.9515708134379769,3.4949781302767836e-11,-55.55555555555556
Jordan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",64.0,64.0,62.0,60.0,59.0,58.0,56.0,53.0,51.0,50.0,47.0,47.0,48.0,45.0,45.0,46.0,43.0,42.0,42.0,41.0,41.0,,,,Upper middle income,decreasing,-1.2415584415584417,-0.9765309229012298,3.953312156925417e-14,-35.9375
Kazakhstan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",56.0,52.0,49.0,42.0,36.0,36.0,31.0,28.0,26.0,23.0,20.0,17.0,14.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,13.0,,,,Upper middle income,decreasing,-2.1493506493506493,-0.925018005468924,2.002144417347709e-09,-76.78571428571429
Kenya,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",564.0,567.0,536.0,525.0,504.0,503.0,493.0,494.0,484.0,464.0,476.0,473.0,477.0,516.0,507.0,483.0,505.0,490.0,512.0,503.0,530.0,,,,Lower middle income,decreasing,-1.7272727272727273,-0.3882654285889382,0.08198302218254817,-6.028368794326241
Kiribati,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",116.0,118.0,113.0,114.0,116.0,118.0,116.0,118.0,128.0,127.0,131.0,129.0,131.0,119.0,120.0,121.0,117.0,112.0,110.0,108.0,76.0,,,,Lower middle income,decreasing,-0.6233766233766234,-0.335839014971185,0.13664680986457495,-34.48275862068966
"Korea, Dem. People's Rep.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",186.0,172.0,188.0,123.0,131.0,122.0,131.0,138.0,139.0,131.0,130.0,120.0,108.0,96.0,85.0,108.0,109.0,108.0,107.0,106.0,107.0,,,,Low income,decreasing,-3.5350649350649346,-0.8012298457219466,1.27181687454274e-05,-42.473118279569896
"Korea, Rep.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",16.0,15.0,17.0,13.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,10.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,,,,High income,decreasing,-0.5168831168831169,-0.9132348515020077,7.643917487567415e-09,-50.0
Kosovo,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,Upper middle income,decreasing,,,,
Kuwait,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,,,,High income,decreasing,-0.22597402597402602,-0.8944862817535233,4.548269192169021e-08,-30.0
Kyrgyz Republic,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",87.0,86.0,85.0,84.0,85.0,83.0,78.0,84.0,78.0,71.0,72.0,66.0,62.0,66.0,60.0,61.0,53.0,53.0,54.0,47.0,50.0,,,,Lower middle income,decreasing,-2.144155844155845,-0.9744843165037805,8.678888412258911e-14,-42.5287356321839
Lao PDR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",579.0,562.0,530.0,509.0,471.0,442.0,417.0,366.0,361.0,330.0,284.0,271.0,246.0,234.0,189.0,184.0,167.0,166.0,165.0,153.0,126.0,,,,Lower middle income,decreasing,-23.692207792207792,-0.9851901092953049,5.153112254176122e-16,-78.23834196891191
Latvia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",32.0,32.0,28.0,34.0,31.0,28.0,26.0,25.0,22.0,23.0,25.0,24.0,23.0,21.0,22.0,22.0,21.0,22.0,23.0,22.0,18.0,,,,High income,decreasing,-0.6090909090909091,-0.8751868590523755,2.0750196520829123e-07,-43.75
Lebanon,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",32.0,27.0,25.0,25.0,25.0,25.0,21.0,20.0,19.0,19.0,18.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,18.0,20.0,21.0,,,,Lower middle income,decreasing,-0.438961038961039,-0.7565226354154463,7.231436669178855e-05,-34.375
Lesotho,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",545.0,575.0,590.0,610.0,555.0,563.0,632.0,703.0,874.0,1096.0,1040.0,1038.0,963.0,834.0,784.0,728.0,668.0,640.0,599.0,629.0,566.0,,,,Lower middle income,increasing,4.677922077922078,0.16219262189369524,0.48241700810429344,3.853211009174312
Liberia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",777.0,747.0,758.0,805.0,700.0,676.0,664.0,663.0,632.0,638.0,634.0,644.0,644.0,632.0,776.0,686.0,628.0,661.0,684.0,668.0,652.0,,,,Low income,decreasing,-4.620779220779224,-0.5211572127914206,0.015408282183942282,-16.08751608751609
Libya,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",57.0,57.0,56.0,52.0,49.0,50.0,52.0,54.0,51.0,56.0,57.0,62.0,66.0,70.0,67.0,71.0,74.0,67.0,69.0,72.0,72.0,,,,Upper middle income,increasing,1.1597402597402597,0.8516124317183135,9.751519099271849e-07,26.31578947368421
Liechtenstein,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Lithuania,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",18.0,18.0,14.0,13.0,12.0,11.0,13.0,12.0,11.0,10.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,,,,High income,decreasing,-0.44935064935064933,-0.8846433836020947,1.019954605218106e-07,-50.0
Luxembourg,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",9.0,11.0,11.0,12.0,10.0,11.0,11.0,9.0,10.0,8.0,8.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,,,,High income,decreasing,-0.2779220779220779,-0.8775111291961031,1.7521063812709865e-07,-33.33333333333333
"Macao SAR, China","Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Madagascar,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",658.0,627.0,637.0,626.0,598.0,568.0,537.0,521.0,526.0,507.0,497.0,484.0,476.0,455.0,467.0,482.0,447.0,423.0,423.0,398.0,392.0,,,,Low income,decreasing,-12.715584415584415,-0.9765002088778088,4.002259215737599e-14,-40.42553191489361
Malawi,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",573.0,531.0,490.0,445.0,386.0,347.0,326.0,352.0,420.0,476.0,513.0,496.0,502.0,473.0,442.0,445.0,430.0,375.0,392.0,370.0,381.0,,,,Low income,decreasing,-3.7376623376623375,-0.3444492567098495,0.12625358605672554,-33.50785340314136
Malaysia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",40.0,36.0,36.0,32.0,33.0,32.0,32.0,28.0,30.0,30.0,25.0,24.0,24.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,21.0,,,,Upper middle income,decreasing,-0.8870129870129871,-0.9515156109715289,3.532242495792159e-11,-47.5
Maldives,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",114.0,96.0,84.0,80.0,79.0,79.0,77.0,66.0,69.0,68.0,60.0,60.0,52.0,49.0,56.0,57.0,51.0,46.0,49.0,50.0,57.0,,,,Upper middle income,decreasing,-2.541558441558441,-0.8973427047454271,3.5448855701312025e-08,-50.0
Mali,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",742.0,684.0,621.0,586.0,563.0,560.0,549.0,571.0,586.0,553.0,547.0,547.0,555.0,544.0,519.0,494.0,470.0,453.0,440.0,428.0,440.0,,,,Low income,decreasing,-11.506493506493506,-0.9149388173071813,6.374349656670991e-09,-40.700808625336926
Malta,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",10.0,9.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,,,,High income,decreasing,-0.35454545454545455,-0.9603314165599676,5.433451529947248e-12,-70.0
Mauritania,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",684.0,658.0,671.0,678.0,657.0,652.0,654.0,638.0,634.0,590.0,586.0,566.0,558.0,534.0,536.0,510.0,480.0,458.0,461.0,431.0,464.0,,,,Lower middle income,decreasing,-13.24025974025974,-0.9756056204200165,5.6877557439612e-14,-32.16374269005848
Mauritius,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",52.0,50.0,48.0,47.0,46.0,48.0,43.0,43.0,45.0,49.0,55.0,42.0,47.0,48.0,51.0,57.0,52.0,46.0,50.0,49.0,84.0,,,,Upper middle income,increasing,0.5779220779220778,0.4154791890526995,0.06105749352023779,61.53846153846154
Mexico,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",57.0,57.0,57.0,52.0,53.0,53.0,54.0,56.0,57.0,51.0,51.0,50.0,49.0,49.0,50.0,52.0,49.0,52.0,56.0,58.0,59.0,,,,Upper middle income,decreasing,-0.08051948051948055,-0.15162595629380074,0.5117594922653188,3.508771929824561
"Micronesia, Fed. Sts.","Maternal mortality ratio (modeled estimate, per 100,000 live births)",60.0,70.0,89.0,63.0,62.0,57.0,58.0,53.0,50.0,46.0,46.0,46.0,42.0,66.0,61.0,64.0,64.0,63.0,69.0,65.0,74.0,,,,Lower middle income,increasing,0.022077922077921783,0.012492527611156795,0.9571388916415811,23.333333333333332
Moldova,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",49.0,44.0,40.0,34.0,28.0,30.0,27.0,23.0,21.0,19.0,18.0,18.0,18.0,17.0,18.0,17.0,15.0,15.0,14.0,12.0,12.0,,,,Lower middle income,decreasing,-1.5623376623376626,-0.9122856028476213,8.444296719734484e-09,-75.51020408163265
Monaco,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Mongolia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",158.0,144.0,136.0,109.0,101.0,94.0,94.0,80.0,79.0,70.0,65.0,61.0,58.0,52.0,49.0,47.0,47.0,48.0,42.0,40.0,39.0,,,,Lower middle income,decreasing,-5.427272727272728,-0.9409009426175384,2.2218331803277315e-10,-75.31645569620254
Montenegro,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",11.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,,,,Upper middle income,decreasing,-0.2545454545454545,-0.9336156483226491,6.513660237824139e-10,-45.45454545454545
Morocco,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",244.0,237.0,227.0,217.0,209.0,194.0,179.0,167.0,156.0,144.0,134.0,122.0,113.0,106.0,102.0,97.0,85.0,80.0,78.0,76.0,72.0,,,,Lower middle income,decreasing,-9.283116883116884,-0.9865143413067435,2.1273415669367605e-16,-70.49180327868852
Mozambique,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",532.0,501.0,461.0,442.0,420.0,404.0,390.0,379.0,374.0,355.0,322.0,296.0,271.0,241.0,241.0,226.0,194.0,177.0,160.0,150.0,127.0,,,,Low income,decreasing,-19.47142857142857,-0.9960311587655052,1.982934968120042e-21,-76.12781954887218
Myanmar,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",371.0,323.0,319.0,316.0,326.0,321.0,332.0,318.0,290.0,280.0,293.0,279.0,285.0,268.0,262.0,243.0,242.0,238.0,215.0,213.0,179.0,,,,Lower middle income,decreasing,-7.302597402597401,-0.9542404832836376,2.060858439278115e-11,-51.75202156334232
Namibia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",450.0,450.0,447.0,451.0,402.0,419.0,420.0,427.0,433.0,459.0,482.0,414.0,362.0,334.0,306.0,299.0,246.0,228.0,218.0,223.0,215.0,,,,Upper middle income,decreasing,-13.3038961038961,-0.8818133463025877,1.2694283741514452e-07,-52.22222222222223
Nepal,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",504.0,484.0,466.0,438.0,392.0,380.0,358.0,355.0,344.0,338.0,349.0,295.0,288.0,261.0,253.0,252.0,224.0,223.0,201.0,182.0,174.0,,,,Low income,decreasing,-15.776623376623375,-0.9876060037240736,9.580598191578238e-17,-65.47619047619048
Netherlands,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",13.0,13.0,13.0,12.0,11.0,10.0,9.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,,,,High income,decreasing,-0.49350649350649345,-0.9612606372429737,4.35369984906017e-12,-69.23076923076923
New Caledonia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
New Zealand,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",11.0,11.0,10.0,10.0,12.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,7.0,,,,High income,decreasing,-0.20779220779220783,-0.8797940056860131,1.478961766163538e-07,-36.36363636363637
Nicaragua,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",169.0,174.0,164.0,166.0,166.0,158.0,135.0,125.0,112.0,104.0,98.0,95.0,92.0,91.0,81.0,79.0,77.0,76.0,74.0,75.0,78.0,,,,Lower middle income,decreasing,-5.775324675324676,-0.9525080056382745,2.9135162843632486e-11,-53.84615384615385
Niger,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",867.0,878.0,871.0,863.0,801.0,768.0,735.0,704.0,673.0,644.0,594.0,576.0,561.0,536.0,513.0,491.0,468.0,433.0,432.0,410.0,441.0,,,,Low income,decreasing,-26.053246753246754,-0.9874435589003062,1.0835384820148517e-16,-49.13494809688581
Nigeria,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1148.0,1127.0,1112.0,1084.0,1088.0,1073.0,1071.0,1081.0,1099.0,1101.0,1123.0,1070.0,1087.0,1109.0,1135.0,1113.0,1129.0,1127.0,1135.0,1122.0,1047.0,,,,Lower middle income,increasing,0.20909090909090908,0.048420012470625225,0.8348986134976756,-8.797909407665506
North Macedonia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",12.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,,,,Upper middle income,decreasing,-0.4805194805194805,-0.9746972340815896,8.021415816441772e-14,-75.0
Northern Mariana Islands,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Norway,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,High income,decreasing,-0.22597402597402597,-0.939237899665379,2.8731522465209536e-10,-66.66666666666666
Oman,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",20.0,20.0,22.0,20.0,20.0,20.0,21.0,22.0,21.0,21.0,18.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,16.0,16.0,17.0,,,,High income,decreasing,-0.32987012987012987,-0.8264661526793232,3.8897973872854835e-06,-15.0
Pakistan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",387.0,373.0,359.0,349.0,334.0,301.0,270.0,253.0,241.0,243.0,230.0,217.0,216.0,206.0,210.0,187.0,188.0,177.0,178.0,179.0,154.0,,,,Lower middle income,decreasing,-11.209090909090909,-0.9619996228962792,3.636213915199569e-12,-60.20671834625323
Panama,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",66.0,64.0,62.0,62.0,59.0,53.0,54.0,54.0,53.0,54.0,55.0,54.0,53.0,52.0,50.0,49.0,49.0,49.0,47.0,51.0,50.0,,,,Upper middle income,decreasing,-0.7662337662337663,-0.8919146135503212,5.658508212632881e-08,-24.242424242424242
Papua New Guinea,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",312.0,316.0,325.0,329.0,310.0,314.0,323.0,336.0,292.0,289.0,289.0,262.0,255.0,233.0,229.0,208.0,209.0,210.0,199.0,190.0,192.0,,,,Lower middle income,decreasing,-7.918181818181818,-0.9436739643561637,1.4229162734350295e-10,-38.46153846153847
Paraguay,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",148.0,147.0,132.0,130.0,127.0,127.0,114.0,110.0,107.0,104.0,100.0,99.0,85.0,81.0,77.0,80.0,69.0,69.0,70.0,70.0,71.0,,,,Upper middle income,decreasing,-4.224675324675324,-0.9795991918133331,1.05698951935396e-14,-52.02702702702703
Peru,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",113.0,106.0,102.0,98.0,101.0,97.0,90.0,87.0,84.0,80.0,76.0,73.0,72.0,71.0,65.0,65.0,62.0,61.0,63.0,72.0,69.0,,,,Upper middle income,decreasing,-2.4545454545454546,-0.9398147788936358,2.630203791930486e-10,-38.93805309734513
Philippines,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",129.0,136.0,126.0,125.0,125.0,122.0,121.0,117.0,107.0,105.0,105.0,108.0,104.0,103.0,89.0,88.0,86.0,84.0,82.0,81.0,78.0,,,,Lower middle income,decreasing,-2.884415584415585,-0.9812236647618162,4.835694991415876e-15,-39.53488372093023
Poland,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",8.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,High income,decreasing,-0.2779220779220779,-0.9143295574424998,6.804979176062787e-09,-75.0
Portugal,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,,,,High income,increasing,0.09870129870129869,0.6244349380833762,0.0024797369118610534,9.090909090909092
Puerto Rico,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",22.0,22.0,23.0,20.0,20.0,20.0,20.0,21.0,22.0,22.0,21.0,21.0,18.0,18.0,18.0,18.0,18.0,16.0,18.0,21.0,34.0,,,,High income,decreasing,-0.006493506493506494,-0.011240828415432426,0.9614301505272986,54.54545454545454
Qatar,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",28.0,23.0,25.0,24.0,23.0,19.0,15.0,14.0,12.0,11.0,10.0,10.0,10.0,9.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,,,,High income,decreasing,-1.077922077922078,-0.9261908577528802,1.7316983934920803e-09,-71.42857142857143
Romania,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",50.0,48.0,47.0,48.0,46.0,37.0,31.0,26.0,23.0,21.0,22.0,19.0,18.0,17.0,15.0,15.0,16.0,13.0,11.0,10.0,10.0,,,,Upper middle income,decreasing,-2.1662337662337663,-0.9477609296078959,7.069409385880702e-11,-80.0
Russian Federation,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",52.0,44.0,48.0,42.0,35.0,31.0,27.0,22.0,19.0,19.0,17.0,14.0,12.0,11.0,10.0,10.0,8.0,9.0,9.0,7.0,14.0,,,,Upper middle income,decreasing,-2.133766233766234,-0.9164861114668015,5.387332042816536e-09,-73.07692307692307
Rwanda,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1007.0,895.0,818.0,715.0,599.0,533.0,483.0,465.0,432.0,401.0,386.0,368.0,328.0,323.0,307.0,312.0,292.0,275.0,281.0,281.0,259.0,,,,Low income,decreasing,-32.07792207792207,-0.9023947335955771,2.239757686462694e-08,-74.28003972194638
Samoa,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",75.0,73.0,67.0,64.0,62.0,62.0,58.0,59.0,59.0,62.0,62.0,59.0,63.0,58.0,60.0,58.0,57.0,59.0,58.0,66.0,59.0,,,,Lower middle income,decreasing,-0.4805194805194805,-0.6125682292947806,0.0031568586084282104,-21.333333333333336
San Marino,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Sao Tome and Principe,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",179.0,182.0,170.0,166.0,159.0,160.0,162.0,149.0,150.0,157.0,160.0,183.0,160.0,158.0,144.0,139.0,164.0,144.0,149.0,142.0,146.0,,,,Lower middle income,decreasing,-1.4103896103896096,-0.6819228171580168,0.0006621464297598979,-18.435754189944134
Saudi Arabia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",22.0,21.0,21.0,20.0,18.0,17.0,17.0,17.0,16.0,17.0,15.0,15.0,15.0,14.0,15.0,16.0,16.0,16.0,17.0,18.0,16.0,,,,High income,decreasing,-0.24025974025974034,-0.6741177980891981,0.0008052680657632517,-27.27272727272727
Senegal,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",638.0,596.0,598.0,565.0,550.0,519.0,490.0,477.0,491.0,471.0,450.0,417.0,394.0,353.0,346.0,321.0,280.0,278.0,277.0,258.0,261.0,,,,Lower middle income,decreasing,-19.733766233766236,-0.9920332791721556,1.4637473231913583e-18,-59.09090909090909
Serbia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",18.0,15.0,15.0,14.0,15.0,16.0,16.0,15.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,11.0,10.0,10.0,,,,Upper middle income,decreasing,-0.2948051948051948,-0.9044375028318612,1.8471049439360042e-08,-44.44444444444444
Sierra Leone,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1682.0,1610.0,1493.0,1451.0,1367.0,1327.0,1225.0,1125.0,973.0,901.0,837.0,728.0,667.0,632.0,618.0,588.0,505.0,520.0,460.0,435.0,443.0,,,,Low income,decreasing,-66.62987012987013,-0.9790881983476655,1.3343771643664086e-14,-73.66230677764565
Singapore,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",15.0,16.0,14.0,14.0,14.0,13.0,12.0,11.0,11.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,7.0,,,,High income,decreasing,-0.48831168831168836,-0.937386771151813,3.793164458293232e-10,-53.333333333333336
Sint Maarten (Dutch part),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,High income,decreasing,,,,
Slovak Republic,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,High income,decreasing,-0.22467532467532472,-0.8884850375983965,7.508914817091975e-08,-44.44444444444444
Slovenia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",12.0,9.0,8.0,9.0,10.0,9.0,8.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,,,,High income,decreasing,-0.3376623376623377,-0.9234423501848272,2.4242530264485226e-09,-58.333333333333336
