time,analysed_sst
1981-12-31,28.15331810263143
1982-12-31,27.90120903720316
1983-12-31,27.958127676970093
1984-12-31,27.769465278857183
1985-12-31,28.114352920701208
1986-12-31,28.132045613219475
1987-12-31,27.91354812999282
1988-12-31,28.139812229772474
1989-12-31,28.157602525357447
1990-12-31,28.400891800602608
1991-12-31,28.0799511352904
1992-12-31,27.988088623879435
1993-12-31,27.827522813674477
1994-12-31,28.061851552431335
1995-12-31,28.336961994676017
1996-12-31,28.449398885851167
1997-12-31,28.087085308496455
1998-12-31,28.222446660524042
1999-12-31,28.1566302319859
2000-12-31,28.228029679103997
2001-12-31,28.401159156010806
2002-12-31,28.326976769573832
2003-12-31,28.360012374642054
2004-12-31,28.396164207658217
2005-12-31,28.406981384807295
2006-12-31,28.312102134358327
2007-12-31,28.41942204736256
2008-12-31,28.160808674749205
2009-12-31,28.39588694825568
2010-12-31,28.374188162857877
2011-12-31,28.335635741010776
2012-12-31,28.330697553345885
2013-12-31,28.406965754370844
2014-12-31,28.48801971071572
2015-12-31,28.291186047923418
2016-12-31,28.597121489599715
2017-12-31,28.617624103579033
2018-12-31,28.54216803451601
2019-12-31,28.53118323610488
2020-12-31,28.670302911305328
2021-12-31,28.54612846139463
2022-12-31,28.81036209932722
