STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_BP50_6(1.0),Blue Pacific 2050: Ocean And Environment (Thematic Area 6),I,A,Annual,SPC_12_5_1,Municipal waste recycled (Tonnes),PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,5384,,T,metric tons,G,Global,C,Country Data,UNSD/UNEP Questionnaire on Environment Statistics,,,,Municipal waste recycled.,
DATAFLOW,SPC:DF_BP50_6(1.0),Blue Pacific 2050: Ocean And Environment (Thematic Area 6),I,A,Annual,SPC_12_5_1,Municipal waste recycled (Tonnes),PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,6338,,T,metric tons,G,Global,C,Country Data,UNSD/UNEP Questionnaire on Environment Statistics,,,,Municipal waste recycled.,
DATAFLOW,SPC:DF_BP50_6(1.0),Blue Pacific 2050: Ocean And Environment (Thematic Area 6),I,A,Annual,SPC_12_5_1,Municipal waste recycled (Tonnes),PF,French Polynesia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,7292,,T,metric tons,G,Global,C,Country Data,UNSD/UNEP Questionnaire on Environment Statistics,,,,Municipal waste recycled.,
DATAFLOW,SPC:DF_BP50_6(1.0),Blue Pacific 2050: Ocean And Environment (Thematic Area 6),I,A,Annual,SPC_12_5_1,Municipal waste recycled (Tonnes),WS,Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,70,,T,metric tons,G,Global,C,Country Data,UNSD/UNEP Questionnaire on Environment Statistics,,,,Municipal waste recycled.,
DATAFLOW,SPC:DF_BP50_6(1.0),Blue Pacific 2050: Ocean And Environment (Thematic Area 6),I,A,Annual,SPC_12_5_1,Municipal waste recycled (Tonnes),WS,Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,542,,T,metric tons,G,Global,C,Country Data,UNSD/UNEP Questionnaire on Environment Statistics,,,,Municipal waste recycled.,
DATAFLOW,SPC:DF_BP50_6(1.0),Blue Pacific 2050: Ocean And Environment (Thematic Area 6),I,A,Annual,SPC_12_5_1,Municipal waste recycled (Tonnes),WS,Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2017,,863,,T,metric tons,G,Global,C,Country Data,UNSD/UNEP Questionnaire on Environment Statistics,,,,Municipal waste recycled.,
DATAFLOW,SPC:DF_BP50_6(1.0),Blue Pacific 2050: Ocean And Environment (Thematic Area 6),I,A,Annual,SPC_12_5_1,Municipal waste recycled (Tonnes),PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2017,,256.26,,T,metric tons,N,National,C,Country Data,"Basel Convention, Montreal Protocol, Rotterdam Convention, Stockholm Convention - 100 = Yes, 0 = No",,,,,
DATAFLOW,SPC:DF_BP50_6(1.0),Blue Pacific 2050: Ocean And Environment (Thematic Area 6),I,A,Annual,SPC_12_5_1,Municipal waste recycled (Tonnes),MH,Marshall Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,8000,,T,metric tons,G,Global,C,Country Data,UNSD/UNEP Questionnaire on Environment Statistics,,,,Municipal waste recycled.,
